trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.98}",30,0,-116.15845987589063,"{0: 18, 1: 3, 2: 6, 3: 3, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.9603999999999999}",30,0,-105.70480337003411,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.9411919999999999}",20,10,-67.25705262323129,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.8, 'e': 0.9223681599999999}",30,0,-120.48003492692442,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.9039207967999998}",30,0,-48.50068793497172,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.8858423808639998}",20,0,-72.72822852214075,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.8681255332467198}",20,0,-51.45786567733004,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.8507630225817854}",25,0,-60.02987363906961,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.8337477621301497}",25,0,-198.25893707298903,"{0: 12, 1: 6, 2: 2, 3: 2, 4: 3}",0
10,False,"{'a': 0.8, 'e': 0.8170728068875467}",30,0,-54.359026376078816,"{0: 24, 1: 0, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.8007313507497957}",20,3,-57.065777350836974,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.8, 'e': 0.7847167237347998}",25,0,-94.32065135742816,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.7690223892601038}",25,0,-138.91516936140832,"{0: 15, 1: 5, 2: 1, 3: 2, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.7536419414749017}",20,0,-178.74462415294389,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.8, 'e': 0.7385691026454037}",20,4,-91.80538718173577,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
16,False,"{'a': 0.8, 'e': 0.7237977205924956}",20,0,-21.69498340425246,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.7093217661806457}",25,19,-0.15343588591089685,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.6951353308570327}",20,0,-66.43149984963513,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.8, 'e': 0.6812326242398921}",20,0,-185.88519512612078,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
20,False,"{'a': 0.8, 'e': 0.6676079717550942}",25,6,-115.54140214020862,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 2}",1
21,False,"{'a': 0.8, 'e': 0.6542558123199923}",20,16,7.7488038404123545,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.8, 'e': 0.6411706960735924}",30,3,-32.66420387635604,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 1}",1
23,False,"{'a': 0.8, 'e': 0.6283472821521205}",25,0,-76.90860552313198,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.8, 'e': 0.6157803365090782}",25,0,-70.93291223120806,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.6034647297788965}",20,8,-24.476316669271483,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
26,False,"{'a': 0.8, 'e': 0.5913954351833186}",35,15,-14.350191548980893,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
27,False,"{'a': 0.8, 'e': 0.5795675264796523}",20,7,-9.643312712321164,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.8, 'e': 0.5679761759500592}",25,0,2.247631474405429,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
