trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.9291249878649,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,12,-49.79307338623541,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.62290345444774,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.29401585248647,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-46.064170348524115,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.44143809003525,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.8760746209015,"{0: 17, 1: 2, 2: 1, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.01606995721522,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-225.9315001665541,"{0: 20, 1: 1, 2: 2, 3: 3, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,8,-79.70561829614789,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.55679364326531,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-239.6834174638383,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-237.59204570676354,"{0: 5, 1: 6, 2: 5, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.11359186769286,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-213.25532451067275,"{0: 13, 1: 2, 2: 4, 3: 3, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.53003103903485,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.99801562071615,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.83433076233524,"{0: 12, 1: 2, 2: 5, 3: 4, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.9360521720553,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,6,-80.5521523843607,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-185.55423867320678,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-102.57673891710922,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.28367140989427,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.276451095652,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-136.93798312048781,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.94685914114544,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.20626427695976,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-149.44636871478332,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.08545014967356,"{0: 11, 1: 2, 2: 8, 3: 3, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.51324645406403,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
